vec_kod;jaun_kod
1201;211
1202;211
1203;211
1204;211
1205;211
1206;211
2805;232
2808;232
2809;242
2810;233
2902;213
2203;214
2204;214
2302;216
2303;223
2307;214
2608;244
2701;236
2801;232
2802;215
2803;232
2605;227
2806;215
2807;215
2103;223
2907;212
2908;212
1105;243
1110;235
2911;237
1101;234
1102;234
1304;238
1305;238
2503;238
2504;238
2505;238
2901;238
2903;238
2904;238
2906;238
2914;238
11;243	
12;238	
13;238	
21;238	
22;238	
23;223	
24;238	
25;238	
26;227	
27;236	
28;215
29;238
1103;537
2601;532
2912;521
2301;111
2703;545
1106;331
1303;511
2102;531
2304;113
2402;541
2602;544